"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2672","Suggession Class Example","chromium","Sat Jul 26 17:06:26 IST 2025","passed","Sat Jul 26 17:06:29 IST 2025","","rajkumar1.spec.js","",""
"","9373","mouse scroling","chromium","Sat Jul 26 17:06:15 IST 2025","passed","Sat Jul 26 17:06:24 IST 2025","","actions.spec.js","",""
"","6588","Negative username test","chromium","Sat Jul 19 11:24:23 IST 2025","passed","Sat Jul 19 11:24:29 IST 2025","","rajkumar.spec.js","",""
"","12368","page object model","chromium","Sat Jul 26 21:56:32 IST 2025","passed","Sat Jul 26 21:56:45 IST 2025","","pom.spec.js","",""
"","16318","open in the same tab","chromium","Sat Jul 26 17:06:15 IST 2025","passed","Sat Jul 26 17:06:31 IST 2025","","handle1.spec.js","",""
"","8239","login use from expath","chromium","Sat Jul 26 17:07:12 IST 2025","passed","Sat Jul 26 17:07:20 IST 2025","","xpath.spec.js","",""
"","28662","flh","chromium","Sat Jul 26 17:06:15 IST 2025","failed","Sat Jul 26 17:06:44 IST 2025","","hadleTab.spec.js","",""
"","6569","Negative password test","chromium","Sat Jul 19 11:24:23 IST 2025","passed","Sat Jul 19 11:24:29 IST 2025","","rajkumar.spec.js","",""
"","9042","mulltiple select checkbox","chromium","Sat Jul 26 17:06:15 IST 2025","passed","Sat Jul 26 17:06:24 IST 2025","","checkbox.spec.js","",""
"","7163","Positive LogIn test","chromium","Sat Jul 19 11:24:23 IST 2025","failed","Sat Jul 19 11:24:30 IST 2025","","rajkumar.spec.js","",""
